"","Name","Peak_E_over_Flu","E_P_Over_S_Err","Hardness Ratio","t90","t90_err","Peak_E","Peak_E_err","Fluence","Fluence_Err","AG_fluence","AG_fluence_err","Classification."
"13",170626401,7.49364621527518,7.49364621527518,0.173143208232325,1.08948120268744,-0.441291429466834,1.98491436048295,0.414341825744959,-4.82099429243518,-7.22149422053581,-5.85354043571609,-5.85354043571609,2
"14",170607971,7.98625609859977,7.98625609859977,-1.19582209204592,1.32072772664417,0.321391278311689,2.16186520932652,1.07484385736069,-5.02648422675902,-7.23077780679992,-6.11334506640977,-6.11334506640977,2
"15",170208940,7.56060592134896,7.56060592134896,-0.949660757111872,1.34273841655542,0.214578953570499,2.07476781741319,0.645089838093262,-4.98552146467379,-7.59448289302362,-7.05225845563308,-7.05225845563308,2
"16",161214722,8.18566827188169,8.18566827188169,-1.17546656080472,1.35272263746202,0.209246848753374,2.30121605098997,1.72972860125849,-5.50686273432003,-7.42990092100804,-7.27782147604817,-7.27782147604817,2
"17",161117066,8.19857942119995,8.19857942119995,-1.17019391346586,2.08699301164496,-0.18111458540599,1.92960037180534,0.235996576065769,-4.50559492372032,-6.97146941348867,-5.29822023112292,-5.29822023112292,2
"18",161014522,7.43224623394143,7.43224623394143,-0.61367504903866,1.56358786599124,0.174059807725025,2.2297345584247,1.10669835452137,-5.21480545811231,-7.33076682450931,-6.23863901378758,-6.23863901378758,2
"19",161001045,8.09140615375502,8.09140615375502,-0.403565631128544,0.350248018334163,-0.6345120151091,2.57191161046311,1.76774743977959,-5.75362453599649,-7.81781368326046,-6.54042241394253,-6.54042241394253,2
"20",160905471,8.31424341922755,8.31424341922755,-0.40868345818701,1.5255242108724,0.13956426617585,2.8412886884538,1.66231623187345,-4.13567881596339,-6.43812378210098,-5.18718315917823,-5.18718315917823,2
"21",151229285,8.70379972121734,8.70379972121734,-1.34349800359921,0.538573733806856,0.0136796972911926,2.00780280790134,1.07378358124264,-5.95514678273227,-7.80183796095392,-6.97411908897392,-6.97411908897392,2
"22",151027166,6.55021391834606,6.55021391834606,-2.40430989605732,2.09129404275846,0.0588054866759068,2.0741246012739,1.26648758683385,-4.85173677036312,-7.21489092812132,NA,NA,2
"23",151006413,7.34124746283472,7.34124746283472,-3.69869482908689,1.97053282976832,0.788804493044648,1.75030246113688,1.06129222803663,-4.91239602631219,-7.32830890605169,-6.63623537024865,-6.63623537024865,2
"24",150527283,9.74791957536948,9.74791957536948,-0.247970119860611,1.3167249841905,0.711469781874328,2.48172232153121,1.77254143934726,-5.58489304351193,-7.31381971115154,-7.09166601888135,-7.09166601888135,2
"25",150430015,7.13470078036184,7.13470078036184,-0.440600971072972,2.04773423645026,0.372912002970107,2.58456018648266,1.53671168108627,-4.80645801143378,-7.1843492113456,-6.16273666618526,-6.16273666618526,2
"26",150403913,6.51480916072035,6.51480916072035,1.20216015923922,1.34775921793047,-0.0915149811213502,2.63219268677137,1.32338205959612,-4.26195710023201,-7.25728272219275,-4.95198318256921,-4.95198318256921,2
"27",150323712,8.05895769848332,8.05895769848332,-1.15962019359775,1.63612666992552,0.385427514805131,2.02011588667697,1.18093977275653,-5.72531115776244,-7.54996655240747,NA,NA,2
"28",150301045,8.79814811732185,8.79814811732185,-0.54066099999999,-0.380906669373257,-0.530177984021837,2.28122705122435,1.77150377375983,-6.74337845393029,-7.91158038298391,-6.26011081572329,-6.26011081572329,2
"29",150203173,8.47183467805879,8.47183467805879,-0.953179514914561,1.40823996531185,0.510276844417355,2.02770586853768,1.30096093735108,-5.72957739166722,-7.20219944229282,NA,NA,2
"30",150201574,7.19752437762419,7.19752437762419,0.305446949058447,1.19356980032262,-0.441291429466834,2.0977995787423,0.296326176677387,-4.19970230077641,-7.27837896644649,NA,NA,2
"31",141220252,7.71793361041629,7.71793361041629,-0.635073545984215,0.881726935376418,-0.0347982989740879,2.25114744595556,0.959471131172528,-5.27257261787605,-7.45505185064857,-7.12354085512912,-7.12354085512912,2
"32",141031304,8.19726693277631,8.19726693277631,-0.541344191627841,1.28905355759264,0.461798557525109,2.64816897699407,1.93361138317924,-5.30733811372692,-7.21631076365268,NA,NA,2
"33",141004973,7.98449275765363,7.98449275765363,-0.782042999999976,0.40823996531185,-0.216811308924742,2.25952149043976,1.74514625682603,-5.92859671646853,-7.48109142630859,-7.06418782067643,-7.06418782067643,2
"34",140706815,9.00583303164722,9.00583303164722,-1.32126601728156,1.641236075704,0.434728541779758,1.92400792235434,0.91149095499283,-5.60434167766587,-7.10773839308446,-7.39473130725487,-7.39473130725487,2
"35",140703026,7.24304788845252,7.24304788845252,-0.888937626756547,1.92411898113547,0.476541809027429,2.33962889931227,1.36594132385859,-5.12112218303424,-7.2933675491267,-6.24131972338321,-6.24131972338321,2
"36",140512814,7.29390054295447,7.29390054295447,-0.478686725587179,2.17017367380627,0.372912002970107,2.84001652767442,1.75626858985186,-4.53246588615041,-7.08962642724559,-5.49397619428729,-5.49397619428729,2
"37",140304557,7.68688728766069,7.68688728766069,-0.818788767308709,1.4945997959866,0.940466677663529,2.15058023095007,1.26613287521877,-5.61464400931919,-7.49968117625361,-6.63759540675003,-6.63759540675003,2
"38",140206304,7.44905999512508,7.44905999512508,0.913349923442327,1.43558957308661,0.0944711286416448,2.08352196915337,0.765362280352753,-4.80910828307783,-7.12622615459473,-5.71481217263944,-5.71481217263944,2
"39",140108721,7.23869665567728,7.23869665567728,-0.72838880703645,1.96091293339474,0.372912002970107,2.55645266831064,1.56044025195846,-4.70493895542238,-6.60612659585062,-6.25677947889838,-6.25677947889838,2
"40",121128212,7.61305183741746,7.61305183741746,-10.4110506297578,1.23914926485829,-0.0347982989740879,1.62980212174581,0.727753391409926,-5.03161512901567,-6.94389590257755,-6.62175737506468,-6.62175737506468,2
"41",121123421,6.61350614970001,6.61350614970001,-0.679546648551283,2.01003692526605,1.50309580083778,2.04071821562244,0.514129592778111,-4.65801183095181,-6.10345724877129,-6.24793299891266,-6.24793299891266,2
