GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
201203A,38.05543,-26.51822,4.7,0, TBD ,1.77E-02, N/A ,3.09E-02," +1.7, -3.09E-2",2.1," +1.6, -0.90",1.63E-11," +1.12E-11, -9.65E-12",1.86E-11,2.03E-05," +7.45E-2, -2.03E-5",1.9," +0.61, -0.42",2.60E-13," +1.52E-13, -8.84E-14",2.77E-13,4.68E-14,1.90E-14,1.2," +0.14, -0.19", N/A ," , ",3.09E-02," +1.7, -3.09E-2",2.03E-05," +7.45E-2, -2.03E-5",2.1," +1.6, -0.90",1.9," +0.61, -0.42",1.63E-11," , ",1.86E-11,2.60E-13," , ",2.77E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201128A,223.10762,26.68487,1.6,0, TBD ,3.54E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.11," +6.36E-2, -5.58E-2",2.1," +0.22, -0.21",2.14E-12," +2.67E-13, -2.34E-13",2.84E-12,4.95E-13,2.88E-13,0.69," +3.17E-2, -3.20E-2", N/A ," , ", N/A ," , ",0.11," +6.36E-2, -5.58E-2", N/A ," , ",2.1," +0.22, -0.21", N/A ," , ", N/A ,2.14E-12," , ",2.84E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201116A,149.32485,0.27592,2.8,0, TBD ,2.78E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.17," +0.21, -0.15",1.8," +0.53, -0.47",2.67E-12," +9.76E-13, -6.83E-13",3.36E-12,2.61E-12,1.13E-12,1.1," +0.13, -0.14", N/A ," , ", N/A ," , ",0.17," +0.21, -0.15", N/A ," , ",1.8," +0.53, -0.47", N/A ," , ", N/A ,2.67E-12," , ",3.36E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201104B,5.21456,7.84191,2.7,1, TBD ,5.69E-02,1.954,1.2," +0.31, -0.29",1.8," +7.40E-2, -7.19E-2",3.58E-10," +1.76E-11, -1.68E-11",4.35E-10,0.49," +1.5, -0.49",1.5," +0.33, -0.29",1.58E-11," +4.33E-12, -3.40E-12",1.72E-11,1.03E-12,4.04E-13,0.22," +0.11, -0.11",340," +48.5, -23.7",1.2," +0.37, -0.34", N/A ," , ",1.7," +8.50E-2, -8.14E-2", N/A ," , ",4.11E-10," +2.36E-11, -2.22E-11",4.92E-10, N/A ," , ", N/A ,1.2," +4.07E-2, -3.36E-2", N/A ," , ",1.3," +0.60, -0.53",0.32," +1.3, -0.32",2," +0.16, -0.15",1.6," +0.31, -0.26",2.48E-10," +2.49E-11, -2.26E-11",3.21E-10,6.36E-13," +1.49E-13, -1.25E-13",7.03E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201103B,42.18444187,12.13739974,6.2,0, TBD ,0.14, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.91," +9.5, -0.82",4.1," +1.8, -2.1",3.12E-13," +3.43E-13, -1.83E-13",6.96E-12, N/A , N/A ,2.2," +0.54, -0.79", N/A ," , ", N/A ," , ",0.91," +9.5, -0.82", N/A ," , ",4.1," +1.8, -2.1", N/A ," , ", N/A ,3.12E-13," , ",6.96E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201029A,229.58181,44.45944,1.4,1, TBD ,2.08E-02, N/A ,0.5," +3.46E-2, -3.28E-2",1.6," +4.65E-2, -4.59E-2",2.95E-09," +7.63E-11, -7.44E-11",3.97E-09,0.26," +4.69E-2, -4.39E-2",2.1," +0.12, -0.12",1.15E-11," +8.03E-13, -7.36E-13",1.76E-11,1.59E-12,5.31E-13,0.73," +6.97E-2, -0.15",3.62E+04," +2.03E4, -1.93E4",0.5," +3.46E-2, -3.28E-2",0.28," +5.12E-2, -4.77E-2",1.6," +4.65E-2, -4.59E-2",2.1," +0.13, -0.13",2.95E-09," +7.63E-11, -7.44E-11",3.97E-09,2.00E-11," +1.46E-12, -1.34E-12",3.05E-11,1.4," +0.24, -0.21", N/A ," , ", N/A ," , ",0.11," +8.75E-2, -6.82E-2", N/A ," , ",2.2," +0.34, -0.30", N/A ," , ", N/A ,2.82E-13," +5.23E-14, -4.43E-14",3.80E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201027A,155.96955,-5.51004,1.8,1, TBD ,4.67E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,9.62E-02," +7.91E-2, -6.81E-2",1.8," +0.23, -0.22",1.93E-11," +2.83E-12, -2.44E-12",2.34E-11,1.55E-13,5.66E-14,0.59," +0.15, -0.16",984," +7.63E4, -263", N/A ," , ",5.21E-02," +9.20E-2, -5.21E-2", N/A ," , ",1.6," +0.28, -0.26", N/A ," , ", N/A ,3.27E-11," +6.44E-12, -5.30E-12",3.70E-11,1.3," +0.18, -0.12", N/A ," , ", N/A ," , ",0.24," +0.15, -0.12", N/A ," , ",2.3," +0.39, -0.36", N/A ," , ", N/A ,6.75E-13," +1.42E-13, -1.15E-13",1.14E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201026A,196.74642,83.78196,2.2,1, TBD ,0.11, N/A ,0.38," +2.21E-2, -2.16E-2",1.8," +3.47E-2, -3.44E-2",4.43E-09," +8.42E-11, -8.27E-11",6.42E-09,0.36," +0.22, -0.19",2.4," +0.49, -0.46",3.63E-12," +9.09E-13, -6.80E-13",7.80E-12,4.80E-13,2.46E-13,3," +0.18, -0.17",572," +151, -91.5",0.38," +2.21E-2, -2.16E-2",0.19," +0.22, -0.17",1.8," +3.47E-2, -3.44E-2",2.5," +0.65, -0.58",4.43E-09," +8.42E-11, -8.27E-11",6.42E-09,4.37E-11," +1.48E-11, -1.01E-11",8.53E-11,0.86," +6.63E-2, -6.41E-2", N/A ," , ", N/A ," , ",0.59," +0.35, -0.27", N/A ," , ",2.6," +0.62, -0.54", N/A ," , ", N/A ,2.14E-13," +5.97E-14, -4.50E-14",6.25E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201024A,125.95204,3.35376,1.5,0, TBD ,3.64E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.15," +6.10E-2, -5.50E-2",2.1," +0.19, -0.18",4.97E-12," +5.36E-13, -4.76E-13",7.07E-12,4.36E-13,2.04E-13,0.97," +4.84E-2, -4.38E-2", N/A ," , ", N/A ," , ",0.15," +6.10E-2, -5.50E-2", N/A ," , ",2.1," +0.19, -0.18", N/A ," , ", N/A ,4.97E-12," , ",7.07E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201021C,12.52894,-55.86539,1.4,0, TBD ,2.05E-02,1.07,1.04E-11," +7.08E-2, -1.04E-11",1.8," +0.17, -0.14",2.45E-10," +3.78E-11, -2.51E-11",2.55E-10,4.95E-02," +0.20, -4.95E-2",1.6," +0.17, -0.14",1.40E-11," +1.80E-12, -1.65E-12",1.47E-11,2.88E-13,1.09E-13,1.2," +6.68E-2, -5.63E-2", N/A ," , ",1.04E-11," +7.08E-2, -1.04E-11",4.95E-02," +0.20, -4.95E-2",1.8," +0.17, -0.14",1.6," +0.17, -0.14",2.45E-10," , ",2.55E-10,1.40E-11," , ",1.47E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201020B,75.46709,77.06823,2.2,0, TBD ,0.14,0.804, N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.71," +0.58, -0.44",2," +0.32, -0.30",6.27E-12," +1.29E-12, -1.05E-12",9.18E-12,1.48E-11,4.56E-12,1.5," +0.21, -0.20", N/A ," , ", N/A ," , ",0.71," +0.58, -0.44", N/A ," , ",2," +0.32, -0.30", N/A ," , ", N/A ,6.27E-12," , ",9.18E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201020A,261.22806,31.42822,1.5,2, TBD ,3.70E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,6.12E-02," +4.58E-2, -4.09E-2",2.1," +0.18, -0.17",3.63E-12," +3.77E-13, -3.36E-13",4.57E-12,5.75E-13,1.79E-13,2.9," +0.80, -0.48",279," +28.3, -43.5", N/A ," , ",2.67E-08," +4.98E-2, -2.67E-8", N/A ," , ",2.4," +0.39, -0.32", N/A ," , ", N/A ,4.72E-11," +1.24E-11, -9.70E-12",5.50E-11,0.3," +0.21, -0.35",6792," +5681, -3089", N/A ," , ",0.14," +8.96E-2, -7.75E-2", N/A ," , ",2.2," +0.32, -0.29", N/A ," , ", N/A ,1.85E-11," +3.19E-12, -2.64E-12",2.76E-11,1.5," +0.15, -0.13", N/A ," , ", N/A ," , ",0.13," +9.28E-2, -7.72E-2", N/A ," , ",2.3," +0.33, -0.29", N/A ," , ", N/A ,4.46E-13," +7.56E-14, -6.30E-14",6.62E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201017A,36.62108,66.67859,1.9,0, TBD ,0.57, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.9," +0.57, -0.47",2.3," +0.47, -0.43",4.28E-12," +8.31E-13, -6.70E-13",1.12E-11,1.12E-13,4.84E-14,1.1," +9.29E-2, -8.29E-2", N/A ," , ", N/A ," , ",0.9," +0.57, -0.47", N/A ," , ",2.3," +0.47, -0.43", N/A ," , ", N/A ,4.28E-12," , ",1.12E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201015A,354.31844,53.41598,1.9,0, TBD ,0.36,0.426, N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.58," +0.75, -0.51",2.1," +0.43, -0.37",1.69E-12," +3.80E-13, -2.97E-13",3.09E-12,6.89E-14,1.70E-14,1.8," +0.22, -0.20", N/A ," , ", N/A ," , ",0.58," +0.75, -0.51", N/A ," , ",2.1," +0.43, -0.37", N/A ," , ", N/A ,1.69E-12," , ",3.09E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201014A,20.79626,27.66027,2,2, TBD ,7.87E-02,4.56,1.02E-07," +5.2, -1.02E-7",2.5," +0.53, -0.38",1.35E-10," +3.21E-11, -3.10E-11",1.83E-10,2.7," +4.4, -2.7",1.9," +0.25, -0.24",8.42E-12," +1.50E-12, -1.23E-12",1.03E-11,7.85E-13,4.86E-13,4.3," +1.4, -0.75",306," +47.4, -50.2",3.83E-06," +5.2, -3.83E-6",4.3," +8.5, -4.3",2.5," +0.53, -0.38",2.2," +0.54, -0.49",1.34E-10," +3.26E-11, -3.10E-11",1.83E-10,3.53E-11," +1.30E-11, -8.61E-12",4.94E-11,0.61," +6.92E-2, -6.85E-2",3.67E+05," +1.06E5, -2.84E5", N/A ," , ",3.48E-04," +3.6, -3.48E-4", N/A ," , ",1.7," +0.25, -0.15", N/A ," , ", N/A ,2.04E-12," +2.94E-13, -3.19E-13",2.29E-12,2.7," +1.6, -1.5", N/A ," , ", N/A ," , ",62.7," +110, -57.8", N/A ," , ",3.6," +2.2, -1.6", N/A ," , ", N/A ,2.94E-14," +2.23E-14, -1.15E-14",2.92E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201013A,107.39358,57.03438,1.4,0, TBD ,5.43E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,4.3," +0.74, -0.68",2," +0.28, -0.27",1.18E-11," +1.10E-12, -9.83E-13",3.29E-11,1.66E-12,8.26E-13,0.89," +2.55E-2, -2.54E-2", N/A ," , ", N/A ," , ",4.3," +0.74, -0.68", N/A ," , ",2," +0.28, -0.27", N/A ," , ", N/A ,1.18E-11," , ",3.29E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201008A,161.8593599,46.10124698,7.4,0, TBD , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201006A,61.89295,65.16456,2.1,0, TBD ,0.45, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.82," +0.73, -0.54",2.1," +0.62, -0.55",1.66E-12," +4.96E-13, -3.63E-13",3.41E-12,3.86E-14,1.72E-14,1," +0.14, -0.14", N/A ," , ", N/A ," , ",0.82," +0.73, -0.54", N/A ," , ",2.1," +0.62, -0.55", N/A ," , ", N/A ,1.66E-12," , ",3.41E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
201001A,110.08096,-2.21104,3.6,0, TBD ,0.27, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,2.5," +4.1, -2.0",1.9," +2.2, -1.4",3.12E-13," +2.61E-13, -1.48E-13",6.89E-13, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",2.5," +4.1, -2.0", N/A ," , ",1.9," +2.2, -1.4", N/A ," , ", N/A ,3.12E-13," , ",6.89E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
